time,temperature_2m,wind_speed_10m,wind_direction_10m,weather_code,precipitation,weather_icon
2026-03-08 00:00:00,3.1,2.63,351,0,0.0,☀️
2026-03-08 01:00:00,2.8,2.47,346,0,0.0,☀️
2026-03-08 02:00:00,2.5,2.12,352,0,0.0,☀️
2026-03-08 03:00:00,2.2,2.14,349,0,0.0,☀️
2026-03-08 04:00:00,2.0,1.92,351,0,0.0,☀️
2026-03-08 05:00:00,1.9,1.75,347,1,0.0,🌤️
2026-03-08 06:00:00,1.8,2.22,352,0,0.0,☀️
2026-03-08 07:00:00,2.2,2.0,357,0,0.0,☀️
2026-03-08 08:00:00,4.1,1.17,340,0,0.0,☀️
2026-03-08 09:00:00,6.2,0.85,291,0,0.0,☀️
2026-03-08 10:00:00,8.1,0.89,243,0,0.0,☀️
2026-03-08 11:00:00,9.5,1.39,210,0,0.0,☀️
2026-03-08 12:00:00,10.7,1.64,218,1,0.0,🌤️
2026-03-08 13:00:00,11.5,1.64,218,1,0.0,🌤️
2026-03-08 14:00:00,12.0,1.91,223,0,0.0,☀️
2026-03-08 15:00:00,12.1,1.92,231,1,0.0,🌤️
2026-03-08 16:00:00,11.8,1.89,238,1,0.0,🌤️
2026-03-08 17:00:00,11.0,1.73,260,0,0.0,☀️
2026-03-08 18:00:00,9.2,1.39,291,0,0.0,☀️
2026-03-08 19:00:00,7.1,1.08,338,0,0.0,☀️
2026-03-08 20:00:00,6.0,1.5,4,0,0.0,☀️
2026-03-08 21:00:00,5.4,1.55,15,0,0.0,☀️
2026-03-08 22:00:00,5.1,1.84,13,0,0.0,☀️
2026-03-08 23:00:00,5.0,1.84,13,0,0.0,☀️
2026-03-09 00:00:00,4.8,1.84,13,0,0.0,☀️
2026-03-09 01:00:00,4.4,1.91,6,0,0.0,☀️
2026-03-09 02:00:00,4.1,1.7,360,0,0.0,☀️
2026-03-09 03:00:00,3.7,1.7,357,0,0.0,☀️
2026-03-09 04:00:00,3.5,1.7,360,0,0.0,☀️
2026-03-09 05:00:00,3.4,1.7,357,0,0.0,☀️
2026-03-09 06:00:00,3.2,1.7,357,0,0.0,☀️
2026-03-09 07:00:00,3.1,1.5,356,1,0.0,🌤️
2026-03-09 08:00:00,4.9,1.55,345,1,0.0,🌤️
2026-03-09 09:00:00,6.9,1.97,336,1,0.0,🌤️
2026-03-09 10:00:00,8.5,2.22,324,1,0.0,🌤️
2026-03-09 11:00:00,9.6,2.55,318,3,0.0,🌤️
2026-03-09 12:00:00,10.4,2.55,315,0,0.0,☀️
2026-03-09 13:00:00,11.4,2.84,309,0,0.0,☀️
2026-03-09 14:00:00,11.6,3.19,311,0,0.0,☀️
2026-03-09 15:00:00,11.3,3.32,316,0,0.0,☀️
2026-03-09 16:00:00,10.6,3.05,319,0,0.0,☀️
2026-03-09 17:00:00,9.8,2.78,322,1,0.0,🌤️
2026-03-09 18:00:00,8.9,2.39,327,0,0.0,☀️
2026-03-09 19:00:00,7.7,1.84,338,0,0.0,☀️
2026-03-09 20:00:00,6.7,1.93,339,0,0.0,☀️
2026-03-09 21:00:00,6.0,2.28,337,0,0.0,☀️
2026-03-09 22:00:00,5.7,2.22,352,0,0.0,☀️
2026-03-09 23:00:00,5.0,2.22,352,0,0.0,☀️
2026-03-10 00:00:00,4.4,2.02,351,0,0.0,☀️
2026-03-10 01:00:00,3.9,1.81,354,0,0.0,☀️
2026-03-10 02:00:00,3.6,1.81,354,0,0.0,☀️
2026-03-10 03:00:00,3.3,1.9,357,0,0.0,☀️
2026-03-10 04:00:00,3.2,1.9,360,0,0.0,☀️
2026-03-10 05:00:00,3.3,1.9,3,0,0.0,☀️
2026-03-10 06:00:00,3.4,1.9,3,0,0.0,☀️
2026-03-10 07:00:00,3.2,1.4,4,0,0.0,☀️
2026-03-10 08:00:00,4.7,0.57,315,0,0.0,☀️
2026-03-10 09:00:00,6.8,0.73,254,0,0.0,☀️
2026-03-10 10:00:00,8.4,1.08,248,0,0.0,☀️
2026-03-10 11:00:00,9.7,1.04,253,0,0.0,☀️
2026-03-10 12:00:00,10.9,1.17,239,0,0.0,☀️
2026-03-10 13:00:00,11.8,1.28,231,0,0.0,☀️
2026-03-10 14:00:00,12.5,1.42,219,0,0.0,☀️
2026-03-10 15:00:00,12.7,1.88,205,0,0.0,☀️
2026-03-10 16:00:00,12.4,2.02,200,0,0.0,☀️
2026-03-10 17:00:00,11.7,1.73,190,0,0.0,☀️
2026-03-10 18:00:00,10.0,0.91,174,0,0.0,☀️
2026-03-10 19:00:00,8.5,0.89,63,0,0.0,☀️
2026-03-10 20:00:00,7.0,1.57,117,0,0.0,☀️
2026-03-10 21:00:00,6.2,1.43,102,0,0.0,☀️
2026-03-10 22:00:00,5.8,1.75,103,0,0.0,☀️
2026-03-10 23:00:00,5.6,1.53,101,0,0.0,☀️
2026-03-11 00:00:00,5.4,1.5,94,0,0.0,☀️
2026-03-11 01:00:00,4.9,1.53,79,0,0.0,☀️
2026-03-11 02:00:00,4.3,1.42,68,0,0.0,☀️
2026-03-11 03:00:00,3.9,1.41,59,0,0.0,☀️
2026-03-11 04:00:00,3.5,1.35,48,2,0.0,🌤️
2026-03-11 05:00:00,3.5,1.2,42,2,0.0,🌤️
2026-03-11 06:00:00,3.3,1.28,39,2,0.0,🌤️
2026-03-11 07:00:00,3.2,1.35,42,2,0.0,🌤️
2026-03-11 08:00:00,6.0,1.06,41,2,0.0,🌤️
2026-03-11 09:00:00,10.2,0.81,60,2,0.0,🌤️
2026-03-11 10:00:00,11.9,0.22,207,2,0.0,🌤️
2026-03-11 11:00:00,13.2,1.39,240,2,0.0,🌤️
2026-03-11 12:00:00,13.9,1.66,245,2,0.0,🌤️
2026-03-11 13:00:00,14.6,1.49,250,3,0.0,🌤️
2026-03-11 14:00:00,15.0,1.53,259,2,0.0,🌤️
2026-03-11 15:00:00,15.3,1.63,281,3,0.0,🌤️
2026-03-11 16:00:00,14.6,1.7,298,2,0.0,🌤️
2026-03-11 17:00:00,13.5,1.84,311,2,0.0,🌤️
2026-03-11 18:00:00,12.0,1.86,324,2,0.0,🌤️
2026-03-11 19:00:00,10.0,1.46,344,2,0.0,🌤️
2026-03-11 20:00:00,7.8,1.21,24,2,0.0,🌤️
2026-03-11 21:00:00,6.1,1.44,56,2,0.0,🌤️
2026-03-11 22:00:00,5.5,1.57,63,2,0.0,🌤️
2026-03-11 23:00:00,5.6,1.43,65,2,0.0,🌤️
2026-03-12 00:00:00,5.6,1.34,63,2,0.0,🌤️
2026-03-12 01:00:00,5.1,1.34,63,45,0.0,🌫️
2026-03-12 02:00:00,4.6,1.3,58,45,0.0,🌫️
2026-03-12 03:00:00,4.1,1.36,54,45,0.0,🌫️
2026-03-12 04:00:00,3.5,1.42,51,45,0.0,🌫️
